long,lat
-77.6244245323183,38.9740431609807
-77.5962369064434,39.0582394195342
-77.5679309439383,39.1425782548536
-77.5395058968311,39.2270596666722
-77.5109610105824,39.311683652732
-77.4822955240142,39.3964502087675
-77.4535086692369,39.4813593284904
-77.4245996715762,39.566411003573
-77.3955677494979,39.6516052236326
-77.3664121145335,39.7369419762147
-77.8970838071985,38.4933053540132
-77.869896410493,38.5767099766472
-77.8425962009407,38.6602573924454
-77.8151824749185,38.7439476143182
-77.7876545226937,38.8277806532895
-77.7600116283579,38.9117565184825
-77.7322530697605,38.995875217104
-77.7043781184405,39.0801367544292
-77.6763860395581,39.164541133787
-77.6482760918253,39.2490883565437
-77.6200475274358,39.3337784220884
-77.5916995919929,39.4186113278167
-77.5632315244386,39.5035870691155
-77.5346425569792,39.5887056393466
