"","...1","Tract","GEOID","Employee-plus-one","Family coverage","Single coverage","infant","preschooler","school-age","teenager","adult"
"390",390,51059461000,51059,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"391",391,51013103503,51013,354.644444874555,603.392881668821,149.283360378772,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"392",392,51510200111,51510,354.644444874555,603.392881668821,149.283360378772,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"393",393,51027010700,51027,378.287407866192,643.619073780075,159.235584404023,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"394",394,51033030202,51033,340.289788772489,578.969836458416,143.240938649155,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"395",395,51710003300,51710,358.866402551633,610.576130260116,151.060543240424,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"396",396,51059431002,51059,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"397",397,51041100209,51041,334.37904802458,568.913288430602,140.752882642842,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"398",398,51059482301,51059,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"399",399,51041100933,51041,334.37904802458,568.913288430602,140.752882642842,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"400",400,51760050400,51760,378.287407866192,643.619073780075,159.235584404023,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"401",401,51730811000,51730,334.37904802458,568.913288430602,140.752882642842,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"402",402,51059491707,51059,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"403",403,51003010904,51003,377.443016330776,642.182424061816,158.880147831693,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"404",404,51153900202,51153,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"405",405,51710005000,51710,358.866402551633,610.576130260116,151.060543240424,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"406",406,51059461604,51059,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"407",407,51087200201,51087,334.37904802458,568.913288430602,140.752882642842,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"408",408,51630000301,51630,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"409",409,51700032129,51700,358.866402551633,610.576130260116,151.060543240424,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"410",410,51810046214,51810,358.866402551633,610.576130260116,151.060543240424,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"411",411,51041101014,51041,334.37904802458,568.913288430602,140.752882642842,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"412",412,51730810400,51730,334.37904802458,568.913288430602,140.752882642842,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"413",413,51087200125,51087,334.37904802458,568.913288430602,140.752882642842,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"414",414,51059482204,51059,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"415",415,51810042802,51810,358.866402551633,610.576130260116,151.060543240424,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"416",416,51107611010,51107,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"417",417,51087201206,51087,334.37904802458,568.913288430602,140.752882642842,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"418",418,51087200131,51087,334.37904802458,568.913288430602,140.752882642842,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"419",419,51059460701,51059,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"420",420,51041100930,51041,334.37904802458,568.913288430602,140.752882642842,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"421",421,51087200133,51087,334.37904802458,568.913288430602,140.752882642842,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"422",422,51107611032,51107,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"423",423,51810046220,51810,358.866402551633,610.576130260116,151.060543240424,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"424",424,51670820700,51670,334.37904802458,568.913288430602,140.752882642842,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"425",425,51101950102,51101,359.710794087048,612.012779978375,151.415979812754,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"426",426,51059491502,51059,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"427",427,51730810700,51730,334.37904802458,568.913288430602,140.752882642842,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"428",428,51059430400,51059,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"429",429,51059471401,51059,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"430",430,51760040201,51760,378.287407866192,643.619073780075,159.235584404023,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"431",431,51510202002,51510,354.644444874555,603.392881668821,149.283360378772,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"432",432,51810044005,51810,358.866402551633,610.576130260116,151.060543240424,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"433",433,51840000101,51840,360.555185622464,613.449429696634,151.771416385085,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"434",434,51059420501,51059,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"435",435,51059432000,51059,352.955661803724,600.519582232302,148.572487234111,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
"436",436,51710001300,51710,358.866402551633,610.576130260116,151.060543240424,13.3398549650301,6.9283536733617,18.3774429199285,30.4423984728591,73.49225612652
