"","geoid","year","measure","value","moe"
"240","51640070102",2021,"incarceration_rate_per_100000",1192,NA
"241","51760071003",2021,"incarceration_rate_per_100000",1168,NA
"242","51059421600",2021,"incarceration_rate_per_100000",832,NA
"243","51650010314",2021,"incarceration_rate_per_100000",915,NA
"244","51590000200",2021,"incarceration_rate_per_100000",1243,NA
"245","51121020202",2021,"incarceration_rate_per_100000",1275,NA
"246","51059421800",2021,"incarceration_rate_per_100000",635,NA
"247","51660000401",2021,"incarceration_rate_per_100000",877,NA
"248","51059421400",2021,"incarceration_rate_per_100000",877,NA
"249","51059482201",2021,"incarceration_rate_per_100000",424,NA
"250","51595890200",2021,"incarceration_rate_per_100000",1390,NA
"251","51710003300",2021,"incarceration_rate_per_100000",1178,NA
"252","51510200105",2021,"incarceration_rate_per_100000",515,NA
"253","51840000301",2021,"incarceration_rate_per_100000",1076,NA
"254","51660000207",2021,"incarceration_rate_per_100000",1116,NA
"255","51141030102",2021,"incarceration_rate_per_100000",1525,NA
"256","51710000201",2021,"incarceration_rate_per_100000",1110,NA
"257","51041100300",2021,"incarceration_rate_per_100000",1367,NA
"258","51107611002",2021,"incarceration_rate_per_100000",452,NA
"259","51059461901",2021,"incarceration_rate_per_100000",399,NA
"260","51510200407",2021,"incarceration_rate_per_100000",294,NA
"261","51153900503",2021,"incarceration_rate_per_100000",1243,NA
"262","51730810300",2021,"incarceration_rate_per_100000",1314,NA
"263","51153900504",2021,"incarceration_rate_per_100000",1675,NA
"264","51590000300",2021,"incarceration_rate_per_100000",1509,NA
"265","51047930300",2021,"incarceration_rate_per_100000",846,NA
"266","51700032134",2021,"incarceration_rate_per_100000",510,NA
"267","51153900407",2021,"incarceration_rate_per_100000",818,NA
"268","51107611602",2021,"incarceration_rate_per_100000",1231,NA
"269","51550020700",2021,"incarceration_rate_per_100000",1150,NA
"270","51760070700",2021,"incarceration_rate_per_100000",1284,NA
"271","51800065402",2021,"incarceration_rate_per_100000",1515,NA
"272","51760041100",2021,"incarceration_rate_per_100000",756,NA
"273","51059450300",2021,"incarceration_rate_per_100000",596,NA
"274","51678980000",2021,"incarceration_rate_per_100000",862,NA
"275","51087200131",2021,"incarceration_rate_per_100000",767,NA
"276","51520020300",2021,"incarceration_rate_per_100000",1733,NA
"277","51013103200",2021,"incarceration_rate_per_100000",109,NA
"278","51153901704",2021,"incarceration_rate_per_100000",1112,NA
"279","51013102600",2021,"incarceration_rate_per_100000",370,NA
"280","51710005000",2021,"incarceration_rate_per_100000",1838,NA
"281","51710003200",2021,"incarceration_rate_per_100000",1094,NA
"282","51059421900",2021,"incarceration_rate_per_100000",425,NA
"283","51105950500",2021,"incarceration_rate_per_100000",2060,NA
"284","51810046013",2021,"incarceration_rate_per_100000",545,NA
"285","51087201103",2021,"incarceration_rate_per_100000",1457,NA
"286","51700031604",2021,"incarceration_rate_per_100000",1085,NA
"287","51187020500",2021,"incarceration_rate_per_100000",1190,NA
"288","51570830400",2021,"incarceration_rate_per_100000",1196,NA
"289","51680001601",2021,"incarceration_rate_per_100000",753,NA
"290","51760010201",2021,"incarceration_rate_per_100000",975,NA
"291","51013101406",2021,"incarceration_rate_per_100000",0,NA
"292","51800075601",2021,"incarceration_rate_per_100000",1408,NA
"293","51173030600",2021,"incarceration_rate_per_100000",1814,NA
"294","51121020702",2021,"incarceration_rate_per_100000",771,NA
"295","51059452302",2021,"incarceration_rate_per_100000",1001,NA
"296","51650010309",2021,"incarceration_rate_per_100000",1026,NA
"297","51087200125",2021,"incarceration_rate_per_100000",299,NA
"298","51760020900",2021,"incarceration_rate_per_100000",1015,NA
"299","51660000402",2021,"incarceration_rate_per_100000",1294,NA
"300","51700032133",2021,"incarceration_rate_per_100000",686,NA
"301","51053840102",2021,"incarceration_rate_per_100000",1390,NA
"302","51059480902",2021,"incarceration_rate_per_100000",710,NA
"303","51650012000",2021,"incarceration_rate_per_100000",1174,NA
"304","51177020305",2021,"incarceration_rate_per_100000",668,NA
"305","51003011302",2021,"incarceration_rate_per_100000",600,NA
"306","51710006502",2021,"incarceration_rate_per_100000",734,NA
