,property_title,url,address,listing_class,plan_name,bedrooms,bathrooms,unit,price,size_sqft
37,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",2 Bed/2 Bath-E8,2,2,233W,3115.0,1190.0
38,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",3 Bed/2 Bath-G3 East,3,2,405E,3853.0,1288.0
39,Faraday Park,https://www.apartments.com/faraday-park-reston-va/4xehkjk/,"11201 Reston Station Blvd, Reston, VA 20190","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",3 Bed/2 Bath-G3 East,3,2,605E,3863.0,1288.0
40,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A5,1,1,509,2218.0,761.0
41,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A5,1,1,529,2238.0,761.0
42,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A5,1,1,592,2288.0,761.0
43,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A1,1,1,274,2248.0,776.0
44,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",B3,2,2,455,3043.0,1123.0
45,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",B1,2,2,576,3128.0,1110.0
46,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",B1,2,2,561,3073.0,1110.0
47,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",B2,2,2,501,3178.0,1218.0
48,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",B2,2,2,227,3143.0,1218.0
49,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",B2,2,2,466,3213.0,1218.0
50,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",C2,3,2,413,3815.0,1436.0
51,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A5,1,1,509,2218.0,761.0
52,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A5,1,1,529,2238.0,761.0
53,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A5,1,1,592,2288.0,761.0
54,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A1,1,1,274,2248.0,776.0
55,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",B3,2,2,455,3043.0,1123.0
56,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",B1,2,2,576,3128.0,1110.0
57,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",B1,2,2,561,3073.0,1110.0
58,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",B2,2,2,501,3178.0,1218.0
