geoid,region_type,region_name,year,measure,value,measure_type
51760,county,"Richmond city, Virginia",2015,vac_res_adr,3068,count
51770,county,"Roanoke city, Virginia",2015,vac_res_adr,1742,count
51775,county,"Salem city, Virginia",2015,vac_res_adr,334,count
51790,county,"Staunton city, Virginia",2015,vac_res_adr,632,count
51800,county,"Suffolk city, Virginia",2015,vac_res_adr,612,count
51810,county,"Virginia Beach city, Virginia",2015,vac_res_adr,1507,count
51820,county,"Waynesboro city, Virginia",2015,vac_res_adr,466,count
51830,county,"Williamsburg city, Virginia",2015,vac_res_adr,115,count
51840,county,"Winchester city, Virginia",2015,vac_res_adr,326,count
51001,county,"Accomack County, Virginia",2015,vac_bus_adr,17,count
51003,county,"Albemarle County, Virginia",2015,vac_bus_adr,172,count
51005,county,"Alleghany County, Virginia",2015,vac_bus_adr,42,count
51007,county,"Amelia County, Virginia",2015,vac_bus_adr,0,count
51009,county,"Amherst County, Virginia",2015,vac_bus_adr,1,count
51011,county,"Appomattox County, Virginia",2015,vac_bus_adr,0,count
51013,county,"Arlington County, Virginia",2015,vac_bus_adr,815,count
51015,county,"Augusta County, Virginia",2015,vac_bus_adr,31,count
51017,county,"Bath County, Virginia",2015,vac_bus_adr,0,count
51019,county,"Bedford County, Virginia",2015,vac_bus_adr,86,count
51021,county,"Bland County, Virginia",2015,vac_bus_adr,0,count
51023,county,"Botetourt County, Virginia",2015,vac_bus_adr,4,count
51025,county,"Brunswick County, Virginia",2015,vac_bus_adr,16,count
51027,county,"Buchanan County, Virginia",2015,vac_bus_adr,3,count
51029,county,"Buckingham County, Virginia",2015,vac_bus_adr,0,count
51031,county,"Campbell County, Virginia",2015,vac_bus_adr,117,count
51033,county,"Caroline County, Virginia",2015,vac_bus_adr,0,count
51035,county,"Carroll County, Virginia",2015,vac_bus_adr,3,count
51036,county,"Charles City County, Virginia",2015,vac_bus_adr,3,count
51037,county,"Charlotte County, Virginia",2015,vac_bus_adr,1,count
51041,county,"Chesterfield County, Virginia",2015,vac_bus_adr,702,count
51043,county,"Clarke County, Virginia",2015,vac_bus_adr,33,count
51045,county,"Craig County, Virginia",2015,vac_bus_adr,1,count
51047,county,"Culpeper County, Virginia",2015,vac_bus_adr,188,count
51049,county,"Cumberland County, Virginia",2015,vac_bus_adr,0,count
51051,county,"Dickenson County, Virginia",2015,vac_bus_adr,5,count
51053,county,"Dinwiddie County, Virginia",2015,vac_bus_adr,0,count
51057,county,"Essex County, Virginia",2015,vac_bus_adr,0,count
51059,county,"Fairfax County, Virginia",2015,vac_bus_adr,2841,count
51061,county,"Fauquier County, Virginia",2015,vac_bus_adr,161,count
51063,county,"Floyd County, Virginia",2015,vac_bus_adr,0,count
51065,county,"Fluvanna County, Virginia",2015,vac_bus_adr,0,count
51067,county,"Franklin County, Virginia",2015,vac_bus_adr,53,count
51069,county,"Frederick County, Virginia",2015,vac_bus_adr,32,count
51071,county,"Giles County, Virginia",2015,vac_bus_adr,49,count
51073,county,"Gloucester County, Virginia",2015,vac_bus_adr,1,count
51075,county,"Goochland County, Virginia",2015,vac_bus_adr,2,count
51077,county,"Grayson County, Virginia",2015,vac_bus_adr,1,count
51079,county,"Greene County, Virginia",2015,vac_bus_adr,0,count
51081,county,"Greensville County, Virginia",2015,vac_bus_adr,1,count
51083,county,"Halifax County, Virginia",2015,vac_bus_adr,124,count
51085,county,"Hanover County, Virginia",2015,vac_bus_adr,144,count
51087,county,"Henrico County, Virginia",2015,vac_bus_adr,1199,count
51089,county,"Henry County, Virginia",2015,vac_bus_adr,90,count
51091,county,"Highland County, Virginia",2015,vac_bus_adr,0,count
51093,county,"Isle of Wight County, Virginia",2015,vac_bus_adr,20,count
51095,county,"James City County, Virginia",2015,vac_bus_adr,102,count
51097,county,"King and Queen County, Virginia",2015,vac_bus_adr,0,count
51099,county,"King George County, Virginia",2015,vac_bus_adr,0,count
51101,county,"King William County, Virginia",2015,vac_bus_adr,0,count
51103,county,"Lancaster County, Virginia",2015,vac_bus_adr,1,count
51105,county,"Lee County, Virginia",2015,vac_bus_adr,42,count
51107,county,"Loudoun County, Virginia",2015,vac_bus_adr,303,count
51109,county,"Louisa County, Virginia",2015,vac_bus_adr,0,count
51111,county,"Lunenburg County, Virginia",2015,vac_bus_adr,0,count
51113,county,"Madison County, Virginia",2015,vac_bus_adr,0,count
51115,county,"Mathews County, Virginia",2015,vac_bus_adr,0,count
51117,county,"Mecklenburg County, Virginia",2015,vac_bus_adr,106,count
51119,county,"Middlesex County, Virginia",2015,vac_bus_adr,2,count
