"PUMA","age","rank","grouped_OCCP_label_female","grouped_OCCP_label_male","n_female","n_male","n_se_female","n_se_male"
"59306","16 to 29",3,"Computer and Mathematical","Sales and Related",518,706,134.064350220333,154.12835560013
"59306","16 to 29",4,"Educational Instruction and Library","Transportation and Material Moving",480,633,104.349413031411,153.717923483243
"59306","16 to 29",5,"Personal Care and Service","Office and Administrative Support",455,597,101.2390734845,120.753053791612
"59306","30 to 49",1,"Management","Computer and Mathematical",1956,2640,210.099024271889,278.842876903822
"59306","30 to 49",2,"Office and Administrative Support","Management",1521,2081,194.205175008289,253.54358599657
"59306","30 to 49",3,"Educational Instruction and Library","Construction and Extraction",1437,1024,206.044412688139,200.447624081704
"59306","30 to 49",4,"Business Operations","Office and Administrative Support",1102,831,148.175402817067,139.281908372911
"59306","30 to 49",5,"Computer and Mathematical","Military",1081,810,160.86112022487,147.873256540863
"59306","over 50",1,"Office and Administrative Support","Management",1870,2729,257.926830709796,268.447294640866
"59306","over 50",2,"Management","Computer and Mathematical",1502,1838,198.933405942793,287.87054382135
"59306","over 50",3,"Educational Instruction and Library","Transportation and Material Moving",1280,1285,153.54331636382,189.409081091694
"59306","over 50",4,"Healthcare Practioners and Technical","Sales and Related",868,1052,158.87054478411,190.152175901303
"59306","over 50",5,"Financial Operations","Business Operations",835,927,219.122226166129,144.363430272351
"59307","16 to 29",1,"Office and Administrative Support","Computer and Mathematical",1684,2429,283.207167988383,361.361660943714
"59307","16 to 29",2,"Sales and Related","Sales and Related",1572,1780,221.38902411818,248.995682693496
"59307","16 to 29",3,"Food Preparation and Serving Related","Food Preparation and Serving Related",1133,1412,228.139540632482,193.483332615499
"59307","16 to 29",4,"Computer and Mathematical","Office and Administrative Support",1051,985,136.617897802594,154.835073546015
"59307","16 to 29",5,"Educational Instruction and Library","Transportation and Material Moving",1026,939,171.322794747226,263.553410146786
"59307","30 to 49",1,"Management","Computer and Mathematical",3948,6632,266.72176514113,431.004002301603
"59307","30 to 49",2,"Computer and Mathematical","Management",2729,4354,300.958053555641,321.160707434767
