"","X","Accees.to.Care","Education","Employment.Access","Labor.Force.Participation","Population.Density","Walkability","Spatial.Segregation","Income.Inequality","Affordability","Environmental","Food.Access","Townsend","Incarceration","Mobility","geoid"
"82",82,0.992,0.701,0.032,0.883,0.008,0.704,0.85,0.505,0.495,0.687,0.272,0.708,0.88577976094145,0.731,51700032300
"83",83,0.868,0.662,0.155,0.801,0.147,0.683,0.806,0.414,0.654,0.61,0.99,0.593,0.969627170038393,0.313,51059415401
"84",84,0.911,0.668,0.085,0.776,0.089,0.451,0.7,0.217,0.622,0.664,0.977,0.56,0.894481553330197,0.468,51700032006
"85",85,0.944,0.69,0.099,0.56,0.082,0.659,0.631,0.285,0.548,0.61,0.926,0.734,0.917885706909935,0.239,51710001400
"86",86,0.872,0.646,0.198,0.631,0.081,0.758,0.325,0.343,0.527,0.551,0.645,0.583,0.810637003563936,0.295,51710003400
"87",87,0.87,0.592,0.042,0.575,0.047,0.351,0.376,0.425,0.621,0.598,0.442,0.482,0.752164226580174,0.298,51730810400
"88",88,0.886,0.631,0.087,0.662,0.039,0.901,0.569,0.325,0.548,0.578,0.949,0.553,0.852193304947671,0.231,51680000700
"89",89,0.934,0.684,0.141,0.587,0.075,0.623,0.732,0.417,0.632,0.586,0.996,0.588,0.896836577619795,0.453,51760071004
"90",90,0.945,0.001,0.07,0.639,0.18,0.549,0.85,0.287,0.611,0.45,0.784,0.552,0.569656235065019,0.587,51710001100
"91",91,0.965,0.839,0.831,0.806,0.574,0.758,0.712,0.306,0.59,0.327,1,0.687,1.05839637096047,0.545,51013101701
"92",92,0.879,0.649,0.118,0.745,0.134,0.622,0.719,0.473,0.59,0.584,0.978,0.589,0.937504444023026,0.273,51710005901
"93",93,0.75,0.638,0.257,0.794,0.147,0.701,0.8,0.318,0.633,0.537,0.984,0.388,0.933348290736819,0.225,51059450702
"94",94,0.921,0.636,0.055,0.569,0.013,0.655,0.494,0.244,0.58,0.643,0.674,0.545,0.801670833732682,0.202,51680001900
"95",95,0.929,0.671,0.182,0.763,0.084,0.661,0.369,0.437,0.506,0.539,0.928,0.79,0.917410901984688,0.146,51710004400
"96",96,0.922,0.626,0.087,0.752,0.07,0.684,0.855,0.431,0.538,0.595,0.995,0.679,0.957500049866213,0.148,51710005500
"97",97,0.991,0.84,0.541,0.56,0.245,0.884,0.719,0.401,0.59,0.556,0.991,0.724,1.04808182781073,0.165,51059480203
"98",98,0.941,0.733,0.049,0.7,0.017,0.335,0.769,0.549,0.548,0.674,0.904,0.92,1.05009036446938,0.165,51177020313
"99",99,0.906,0.708,0.175,0.599,0.089,0.836,0.256,0.359,0.443,0.545,0.825,0.676,0.85798884898457,0.182,51710004500
"100",100,0.896,0.772,0.302,0.824,0.225,0.817,0.899,0.478,0.675,0.439,0.955,0.586,1.01891212846891,0.26,51510200409
"101",101,0.957,0.662,0.038,0.625,0.011,0.324,0.569,0.41,0.58,0.655,0.631,0.835,0.90011362162272,0.323,51730811200
"102",102,0.891,0.616,0.041,0.495,0.052,0.458,0.675,0.338,0.622,0.412,0.547,0.567,0.783542082083776,0.316,51670820100
