"","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Mobility","geoid","Incarceration"
"1791",0.991,0.841,0.093,0.803,0.049,0.286,0.741,0.534,0.408,0.653,0.982,0.92,0.909,"51107611208",1.02752458365505
"1792",0.861,0.681,0.137,0.655,0.078,0.562,0.829,0.424,0.546,0.611,0.97,0.612,0.789,"51087200152",0.922425783299062
"1793",0.978,0.826,0.31,0.7,0.062,0.548,0.639,0.52,0.442,0.544,0.982,0.916,0.923,"51059451300",0.992582814374617
"1794",0.991,0.855,0.103,0.675,0.059,0.531,0.304,0.518,0.369,0.658,0.96,0.923,0.88,"51059415800",0.950826446571508
"1795",0.924,0.67,0.013,0.692,0.001,0.094,0.177,0.509,0.416,0.828,0.703,0.867,0.866,"51069050401",0.861950994405856
"1796",0.981,0.855,0.094,0.638,0.028,0.427,0.506,0.442,0.416,0.641,0.91,0.913,0.92,"51059416100",0.960020442868893
"1797",0.985,0.864,0.184,0.72,0.05,0.39,0.513,0.466,0.391,0.626,0.938,0.911,0.912,"51059482001",0.982710072261799
"1798",0.948,0.659,0.01,0.589,0.001,0.166,0.348,0.319,0.318,0.764,0.458,0.882,0.849,"51031020600",0.823306069416942
"1799",0.934,0.672,0.175,0.703,0.097,0.732,0.753,0.58,0.453,0.668,0.689,0.879,0.808,"51810046010",0.962380394585233
"1800",0.985,0.813,0.37,0.752,0.074,0.704,0.574,0.47,0.614,0.572,0.95,0.826,0.714,"51059482205",0.978234883128751
"1801",0.823,0.672,0.008,0.437,0,0.145,0.158,0.45,0.324,0.838,0.55,0.86,0.79,"51021040100",0.857992870504513
"1802",0.953,0.738,0.106,0.63,0.049,0.532,0.449,0.406,0.352,0.698,0.978,0.905,0.847,"51810042202",0.930744081577969
"1803",0.975,0.831,0.192,0.58,0.049,0.633,0.563,0.278,0.314,0.581,0.981,0.885,0.485,"51760050500",0.973239828353086
"1804",0.971,0.73,0.053,0.662,0.055,0.301,0.196,0.53,0.369,0.734,0.991,0.918,0.912,"51550021012",0.898139543084459
"1805",0.968,0.864,0.424,0.838,0.144,0.876,0.506,0.518,0.481,0.524,1,0.872,0.744,"51510201300",1.02216431446539
"1806",0.982,0.71,0.019,0.662,0.003,0.168,0.399,0.439,0.385,0.738,0.719,0.928,0.875,"51041100704",0.886653598863693
"1807",0.973,0.806,0.045,0.679,0.041,0.378,0.456,0.51,0.397,0.72,0.929,0.904,0.847,"51041101007",0.962798122782876
"1808",0.95,0.669,0.008,0.577,0,0.146,0.139,0.374,0.338,0.837,0.35,0.911,0.96,"51063920202",0.800101700876757
"1809",0.985,0.873,0.143,0.631,0.021,0.352,0.519,0.459,0.287,0.628,0.96,0.929,0.893,"51059480401",0.978815345896389
"1810",0.956,0.789,0.028,0.685,0.002,0.187,0.373,0.437,0.366,0.742,0.894,0.93,0.917,"51107610201",0.937336339019193
"1811",0.98,0.808,0.033,0.505,0.01,0.295,0.399,0.372,0.391,0.764,0.711,0.871,0.886,"51095080203",0.898271484897115
"1812",0.936,0.811,0.053,0.741,0.046,0.249,0.772,0.632,0.456,0.689,0.946,0.956,0.807,"51153901505",1.0616666629418
"1813",0.975,0.827,0.12,0.759,0.035,0.45,0.842,0.556,0.447,0.667,0.997,0.904,0.887,"51107611804",1.04271335947653
"1814",0.952,0.872,0.042,0.564,0.011,0.477,0.557,0.337,0.34,0.751,0.91,0.845,0.606,"51121020500",0.991055256953278
"1815",0.984,0.784,0.041,0.591,0.018,0.314,0.323,0.569,0.323,0.749,0.858,0.935,0.897,"51199050304",0.925293691026911
"1816",0.936,0.717,0.096,0.695,0.026,0.458,0.747,0.359,0.475,0.575,0.815,0.818,0.791,"51087200908",0.920275206821986
"1817",0.973,0.744,0.02,0.633,0.003,0.145,0.335,0.407,0.248,0.795,0.699,0.914,0.897,"51161030602",0.890095137727468
"1818",0.966,0.662,0.16,0.672,0.043,0.757,0.456,0.436,0.565,0.509,0.788,0.826,0.743,"51760021100",0.841970655726345
