blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""510594607012""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,2223.00,730.00,231.50,43,51,70,29,36,50,13,15,20,8.24,26.00,1.71,2,1,18361,16260,16983,8,7,8,12330,10891,10515,9746,8600,8124,2545,2254,2353,38,36,37,21,20,20,7.8,9.2,5.84,3.15,35609,52,64362,90,10,66,1014,2245,3189,1637,39,61
"""517600209003""","""Richmond, VA""",1.00,706.00,320.00,72.72,43,51,48,25,31,28,18,20,20,6.56,28.87,1.52,1,1,16471,14652,16274,9,9,10,10730,9446,10517,8270,7247,8077,2282,2030,2255,177,168,185,150,143,157,7.4,9.0,6.66,4.40,23778,72,44073,89,3,352,448,1258,1384,1132,50,50
"""517600414001""","""Richmond, VA""",1.00,1077.00,426.00,86.90,42,49,46,24,30,26,18,20,20,6.74,33.04,1.50,1,1,17061,14917,16897,10,10,11,10723,9384,10519,8162,7128,7977,2364,2067,2341,197,189,201,167,160,170,7.7,9.2,7.67,4.90,28863,50,56669,90,4,383,501,1190,1337,987,58,42
"""515400002021""","""Charlottesville, VA""",1.00,1116.00,535.00,111.83,35,41,39,17,22,19,18,19,20,6.42,30.72,1.48,1,1,16071,14231,16543,10,9,10,10791,9225,10519,8458,7155,8115,2228,1972,2292,105,99,112,253,237,268,7.7,7.4,6.50,4.78,16974,66,39974,90,3,367,498,875,986,796,41,59
"""517100015002""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,1439.00,639.00,145.43,45,54,49,27,34,29,18,20,20,7.19,31.60,1.52,1,1,17638,15701,17331,6,6,6,10805,9528,10521,8262,7254,8016,2444,2176,2402,99,98,103,94,94,98,8.2,8.9,7.88,4.39,22808,40,19788,86,9,202,1000,1324,1731,1149,30,70
"""510594823021""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1718.00,724.00,81.73,36,43,58,23,28,39,13,15,20,7.53,66.72,1.67,1,1,19356,16341,17789,11,9,11,12251,10717,10522,9514,8406,8006,2683,2265,2465,55,46,51,30,25,28,7.7,9.2,10.22,8.86,29273,7,56649,90,20,227,1192,1741,1797,1637,65,35
"""518303702002""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,511.00,299.00,104.71,36,43,39,18,22,20,18,20,20,6.30,18.00,1.50,1,1,18724,16162,18413,5,4,5,10819,9585,10523,8145,7280,7889,2595,2240,2552,80,65,82,254,206,263,8.8,6.1,4.32,2.86,7101,0,11161,86,10,261,831,876,,876,26,74
"""517402131011""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,1733.00,468.00,269.71,39,46,42,21,26,23,18,21,20,8.11,14.07,1.53,1,1,17505,15633,17157,5,5,5,10853,9720,10524,8340,7464,8055,2426,2166,2377,87,90,92,83,85,87,8.7,6.7,4.73,1.74,17541,37,14268,87,6,187,634,1013,1342,968,12,88
"""518100460051""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,1159.00,487.00,256.57,48,58,52,30,38,33,18,20,20,7.65,14.52,1.51,1,1,18070,15566,17781,3,3,3,10782,9413,10526,8210,7193,7991,2504,2157,2464,68,64,71,65,61,67,8.3,9.3,3.69,1.90,26317,21,39440,88,6,278,710,1477,,1477,53,47
"""510594211022""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,2499.00,848.00,179.19,43,51,70,29,37,50,13,15,20,8.35,39.51,1.68,1,1,18999,16200,17448,11,10,10,12284,10784,10526,9596,8491,8058,2634,2246,2418,55,48,50,30,26,28,8.1,8.0,5.25,4.73,31989,9,37722,90,16,157,912,2257,2283,2227,53,47
