"","CT2","FIPS","Geographic Area Name","Tpop","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Incarceration","Mobility","County","LifeExpectancy"
"64","51710002500",0.845,"Census Tract 25, Norfolk city, Virginia",0.323,0.921,0.5,0.145,0.511,0.083,0.458,0.79,0.458,0.618,0.712,0.573,0.474,0.89,0.53,NA,0.525
"65","51620090200",0.738,"Census Tract 902, Franklin city, Virginia",0.235,0.938,0.311,0.014,0.645,0.015,0.674,0.608,0.589,0.697,0.816,0.642,0.475,0.498,0.826,"Franklin city",0.338
"66","51510200102",0.607,"Census Tract 2001.02, Alexandria city, Virginia",0.317,0.918,0.519,0.312,0.762,0.112,0.737,0.796,0.693,0.724,0.669,0.962,0.475,0.944,0.834,"Alexandria city",0.709
"67","51121020301",0.143,"Census Tract 203.01, Montgomery County, Virginia",0.229,0.973,0.726,0.052,0.398,0.057,0.858,0.785,0.308,0.592,0.793,0.916,0.477,1,0.572,NA,0.622
"68","51770002600",0.917,"Census Tract 26, Roanoke city, Virginia",0.185,0.9,0.358,0.125,0.543,0.039,0.595,0.941,0.505,0.711,0.612,0.774,0.477,0.44,0.661,"Roanoke city",0.233
"69","51013102001",0.014,"Census Tract 1020.01, Arlington County, Virginia",0.229,0.915,0.642,0.546,0.823,0.365,0.484,0.92,0.51,0.697,0.65,0.958,0.478,0.993,0.775,"Arlington County",0.571
"70","51510200304",0.607,"Census Tract 2003.04, Alexandria city, Virginia",0.193,0.96,0.547,0.293,0.7,0.372,0.405,0.72,0.532,0.816,0.534,0.924,0.478,0.979,0.815,"Alexandria city",0.672
"71","51760030200",0.905,"Census Tract 302, Richmond city, Virginia",0.196,0.943,0.585,0.433,0.661,0.096,0.711,0.719,0.536,0.776,0.438,0.73,0.478,0.878,0.633,"Richmond city",0.561
"72","51680000400",0.809,"Census Tract 4, Lynchburg city, Virginia",0.194,0.928,0.434,0.055,0.56,0.02,0.226,0.78,0.646,0.605,0.792,0.411,0.48,0.485,0.903,"Lynchburg city",0.422
"73","51510200106",0.607,"Census Tract 2001.06, Alexandria city, Virginia",0.206,0.955,0.481,0.349,0.641,0.109,0.684,0.881,0.6,0.711,0.594,0.989,0.481,0.982,0.908,"Alexandria city",0.632
"74","51013101705",0.014,"Census Tract 1017.05, Arlington County, Virginia",0.206,0.959,0.755,0.882,0.82,0.239,0.632,0.886,0.761,0.671,0.421,0.984,0.481,1,0.676,"Arlington County",0.655
"75","51510200108",0.607,"Census Tract 2001.08, Alexandria city, Virginia",0.096,0.924,0.679,0.286,0.715,0.122,0.342,0.773,0.746,0.711,0.505,0.928,0.481,0.94,0.893,"Alexandria city",0.598
"76","51810045810",0.964,"Census Tract 458.10, Virginia Beach city, Virginia",0.171,0.93,0.387,0.1,0.68,0.081,0.379,0.714,0.487,0.75,0.775,0.931,0.481,0.827,0.862,"Virginia Beach city",0.611
"77","51013103300",0.014,"Census Tract 1033, Arlington County, Virginia",0.16,0.941,0.689,0.542,0.772,0.181,0.368,0.922,0.668,0.75,0.493,0.742,0.484,0.968,0.882,"Arlington County",0.642
"78","51710004600",0.845,"Census Tract 46, Norfolk city, Virginia",0.134,0.94,0.302,0.151,0.66,0.04,0.384,0.567,0.535,0.724,0.687,0.753,0.487,0.535,0.926,"Norfolk city",0.378
"79","51770000900",0.917,"Census Tract 9, Roanoke city, Virginia",0.407,0.908,0.34,0.076,0.594,0.03,0.895,0.409,0.474,0.684,0.779,0.61,0.487,0.72,0.871,"Roanoke city",0.365
"80","51520020201",0.619,"Census Tract 202.01, Bristol city, Virginia",0.161,0.946,0.387,0.042,0.348,0.034,0.737,0.848,0.406,0.697,0.729,0.894,0.487,0.357,0.788,"Bristol city",0.378
"81","51810040600",0.964,"Census Tract 406, Virginia Beach city, Virginia",0.497,0.869,0.481,0.155,0.741,0.065,0.868,0.598,0.688,0.579,0.761,0.918,0.49,0.845,0.647,"Virginia Beach city",0.453
"82","51700032300",0.833,"Census Tract 323, Newport News city, Virginia",0.386,0.935,0.491,0.026,0.906,0.019,0.589,0.876,0.704,0.553,0.776,0.547,0.492,0.984,0.323,"Newport News city",0.669
"83","51059415401",0.069,"Census Tract 4154.01, Fairfax County, Virginia",0.383,0.819,0.415,0.144,0.656,0.236,0.858,0.878,0.501,0.724,0.684,0.855,0.492,0.974,0.633,"Fairfax County",0.595
"84","51700032006",0.833,"Census Tract 320.06, Newport News city, Virginia",0.279,0.895,0.415,0.078,0.693,0.069,0.647,0.635,0.291,0.724,0.754,0.883,0.493,0.82,0.744,NA,0.47
"85","51710001400",0.845,"Census Tract 14, Norfolk city, Virginia",0.161,0.959,0.519,0.09,0.556,0.057,0.763,0.847,0.443,0.697,0.741,0.932,0.494,0.765,0.847,"Norfolk city",0.49
"86","51710003400",0.845,"Census Tract 34, Norfolk city, Virginia",0.12,0.913,0.377,0.178,0.597,0.037,0.542,0.631,0.642,0.632,0.695,0.885,0.494,0.377,0.779,"Norfolk city",0.476
"87","51730810400",0.869,"Census Tract 8104, Petersburg city, Virginia",0.104,0.932,0.302,0.041,0.638,0.03,0.158,0.633,0.623,0.697,0.737,0.506,0.495,0.499,0.693,"Petersburg city",0.348
"88","51680000700",0.809,"Census Tract 7, Lynchburg city, Virginia",0.229,0.94,0.415,0.071,0.602,0.028,0.589,0.732,0.633,0.658,0.692,0.945,0.495,0.525,0.864,NA,0.433
